,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
0,1,NCT04621838,Wound,To Evaluate the Safety and Performance of the AMS ActivHeal Silicone Foam and the ActivHeal Silicone Foam Lite Dressing.,Other,Poland,"April 21, 2020","July 30, 2021",Poland
1,2,NCT01004055,Wound Healing|Wound Infection,Efficacy Study of a Bioelectric Dressing to Treat Wounds Caused by Curettage and Electrodesiccation,Device,United States|United States,July 2008,October 2009,United States
2,3,NCT00952120,Wound Healing,Comparison of Two Methods of Securing Skin Grafts Using Negative Pressure Wound Therapy: Vacuum Assisted Closure (VAC) and Gauze Suction (GSUC),Device,United States,May 2009,July 2012,United States
3,4,NCT01294241,Inherited Epidermolysis Bullosa,Oleogel-S10 in Wound Healing of Inherited Epidermolysis Bullosa (BEB-10),Drug,Germany,November 2010,June 2011,Germany
4,5,NCT04618406,Negative-Pressure Wound Therapy|Amputation|Wound Heal,The Effect of Negative Pressure Wound Therapy on Wound Healing in Major Amputations of the Lower Limb,Device,,September 2021,March 2022,
5,6,NCT01807650,Wounds,Oleogel-S10 in Wound Healing of Split-Thickness Skin Graft Donor Sites (BSG-12),Drug,France|France|France|Greece|Greece|Greece|Latvia|Latvia|Spain|Spain|Spain|Spain|Spain|Spain,March 2013,September 2014,France
6,7,NCT01657305,Wounds,Oleogel-S10 in Wound Healing of Split-Thickness Skin Graft Donor Sites (BSH-12),Drug,Austria|Austria|Austria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Czechia|Czechia|Finland|Finland|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Poland|Poland,August 2012,September 2014,Austria
7,8,NCT02210208,Burn Injury|Skin Graft,A Soft Silicone Wound Contact Layer Containing Silver in the Treatment of Skin Grafts in Surgical Burn Patients.,Device,United States|United States|United States|United States,September 2014,"June 15, 2016",United States
8,9,NCT02167815,Venous Leg Ulcer (VLU),"A Multicenter, Post Marketing Clinical Follow up (PMCF) Investigation to Evaluate the Performance and Safety of a Soft Silicone Foam Dressing and to Evaluate the Performance of Standard Care in Exuding Venous Leg Ulcers",Device,Czech Republic|Czech Republic|Czech Republic,May 2014,July 2015,Czech Republic
9,10,NCT01528293,Chronic Venous Hypertension With Ulcer,ActiV.A.C.+ Compression Therapy Versus Compression Therapy Alone for the Treatment of Chronic Venous Ulcerations,Device,United States,July 2012,March 2014,United States
10,11,NCT04133493,Diabetic Foot Ulcer,Omega3 Wound Fish Skin Graft in the Treatment of DFUs,Device,United States|United States|United States|United States|United States,"July 31, 2019","January 30, 2021",United States
11,12,NCT02712164,Split-thickness Skin Graft Donor Sites|Burns,"Molecular, Histologic, and Clinical Analysis of Negative Pressure Wound Therapy (NPWT) for Split-thickness Skin Graft (STSG) Donor Sites",Device,,July 2017,July 2018,
12,13,NCT00816101,Acute Wounds,Efficacy Study of a New Antimicrobial Wound Dressing to Treat Wounds Caused by Curettage and Electrodesiccation,Other,United States,March 2008,October 2008,United States
13,14,NCT04689009,Venous Leg Ulcer|Mixed Leg Ulcer,Leg Ulcers Standards of Care Enhancement,Device,Italy|Italy|Italy|Italy,"May 14, 2019",September 2021,Italy
14,15,NCT02543034,Skin Graft,"Compare of Petrolatum Gauze, Allevyn, and New Dressing, Betafoam® in the Management of Split-Thickness Skin Graft Donor Site",Device,"Korea, Republic of","March 16, 2016",May 2017,"Korea, Republic of"
15,16,NCT04101890,Diaper Dermatitis,The Healthy Baby Bottoms Study,Drug,United States,"March 12, 2020",February 2021,United States
16,17,NCT02870816,Diabetic Foot Ulcer,"Prospective, Comparitive, Randomized Study of Allograft Versus Skin Substitute in Non-healing Diabetic Foot Ulcers",Procedure,United States|United States|United States,August 2016,May 2018,United States
17,18,NCT02409628,Non-melanoma Skin Cancer|Basal Cell Carcinoma|Squamous Cell Carcinoma,EktoTherix™ Regenerative Tissue Scaffold for Repair of Surgical Excision Wounds,Device,United Kingdom|United Kingdom|United Kingdom,"April 23, 2015",July 2017,United Kingdom
18,19,NCT02863263,Pressure Ulcer,Efficacy and Safety of MedifoamⓇ and BetafoamⓇ in Pressure Ulcer,Device,"Korea, Republic of","July 29, 2016","July 26, 2017","Korea, Republic of"
19,20,NCT03596112,Wound Heal,The Difference in Wound Size Reduction Comparing Two Frequently Used Wound Dressings in Everyday Care,Other,Switzerland,"September 1, 2018","May 31, 2020",Switzerland
20,21,NCT01036438,Venous Leg Ulcers|Mixed Leg Ulcers,Evaluating the Efficacy of an Absorbent Foam Dressing Containing Silver (Mepilex Ag) Versus the Same Dressing Without Silver Used on Subjects With Venous Leg Ulcers or Mixed Ulcers,Device,Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Netherlands|Netherlands,December 2009,October 2013,Czech Republic
21,22,NCT03016078,"Arthroplasties, Hip Replacement|Arthroplasties, Knee Replacement",Self-adherent Absorbent Silver Dressing in Adults After Hip or Knee Arthroplasty,Device,United States,"February 1, 2017","April 7, 2017",United States
22,23,NCT03662997,Chronic Wound|Venous Leg Ulcer|Diabetic Foot Ulcer,Clinical Study to Compare 3 Multi-Layered Foam Dressings for the Management of Chronic Wounds,Device,United States|United States|United States|United States|United States,"March 19, 2019","November 15, 2019",United States
23,24,NCT02896725,Varicose Ulcer,Wool-derived Keratin Dressings for Venous Leg Ulcers,Device,New Zealand,"March 1, 2017","September 30, 2019",New Zealand
24,25,NCT04019639,Chronic Wound,Efficacy of Paste Type Acellular Dermal Matrix(CG Paste) in Chronic Wound Healing,Device,"Korea, Republic of","April 5, 2017","July 31, 2020","Korea, Republic of"
25,26,NCT05041244,Diabetic Foot,Negative Pressure Wound Therapy in Diabetic Wounds,Device,Mauritius,"May 1, 2019","July 1, 2021",Mauritius
26,27,NCT04354012,Hidradenitis Suppurativa (HS),Hidradenitis Suppurativa Wound Care,Combination Product,United States,September 2021,January 2022,United States
27,28,NCT02198066,Impaired Wound Healing|Postoperative Wound Infection-deep,A Comparison of Post-Sternotomy Dressings,Other,United States,July 2010,August 2012,United States
28,29,NCT04538885,MSCs-PFs in Treating Poorly Healed Wounds of Postoperative Incision,Mesenchymal Stem Cell-derived Pleiotropic Factor in Treating Poorly Healed Wounds of Postoperative Incision,Biological,,"September 10, 2020","May 30, 2021",
29,30,NCT00691821,Skin Ulcer|Pressure Ulcer,Negative Pressure Wound Therapy for the Treatment of Chronic Pressure Wounds,Other,Canada|Canada|Canada|Canada,April 2009,May 2010,Canada
30,31,NCT01594658,Venous Ulcer,Venous Ulcer Treatment With Foam Versus Conservative Treatment,Procedure,Colombia,July 2011,September 2012,Colombia
31,32,NCT02463487,Diabetic Foot Ulcers,Negative Pressure Wound Therapy as a Drug Delivery System,Device,United States,"June 2, 2015","August 1, 2020",United States
32,33,NCT03584360,Psoriasis Vulgaris,Role of Topical Treatments in the Modulation of Skin Microbiome in Psoriatic Skin,Drug,France,"September 24, 2018","March 7, 2019",France
33,34,NCT03796793,Venous Leg Ulcer,Developing Strategies for Effective Debridement in Patients for Venous Leg Ulcers,Procedure,United States,"March 18, 2019","April 1, 2023",United States
34,35,NCT04176120,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"July 1, 2020",April 2023,United States
35,36,NCT02237287,Wounds|Pressure Ulcer,Combination of Taliderm® and Vacuum-assisted Closure (VAC) for Treatment of Pressure Ulcers,Other,Switzerland|Switzerland,February 2011,August 2012,Switzerland
36,37,NCT01817218,Chronic Ulcer,Feasibility and Safety and Evaluation of the Potential Efficacy of Autologous Platelet-rich Plasma in the Treatment of Vascular Venous Ulcers,Drug,Spain,June 2013,April 2015,Spain
37,38,NCT02081352,Diabetic Foot Ulcers,A Comparative Efficacy Study of DermaPure™ to Treat Diabetic Foot Ulcers,Other,United States|United States|United States|United States|United States|United States|United States,August 2014,February 2017,United States
38,39,NCT04450693,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU II)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"November 20, 2020",July 2023,United States
39,40,NCT02807584,Wounds and Injuries|Burns,Treatment of Wounds With a New Adhesive Foam Dressing,Device,South Africa,March 2016,July 2016,South Africa
40,41,NCT02732886,Diabetes Mellitus|Foot Ulcer,Betafoam Diabetes Mellitus Foot Study,Device,"Korea, Republic of","March 29, 2016","September 29, 2017","Korea, Republic of"
41,42,NCT04149808,Second-degree Burn,Mepilex Ag vs. Xeroform in Pediatric Patients That Sustain Partial Thickness Burn Injury,Device,United States,"November 1, 2019","September 1, 2022",United States
42,43,NCT00847002,Venous Ulcer,Flexitouch Treatment for Venous Ulcers,Device,United States|United States,September 2007,August 2010,United States
43,44,NCT04484168,Venous Ulcer,Axial Ablation Versus Terminal Interruption of the Reflux Source,Procedure,Ireland,"July 21, 2020",December 2022,Ireland
44,45,NCT02930499,Venous Ulcers,Effect of Hyaluronic Acid ECM on Venous Ulcers,Device,United States,January 2016,December 2018,United States
45,46,NCT02246608,Open Wound Abdominal Wall|Wound Non Healing,Effect of Oasis® Wound Matrix on Stage III and IV Trunk Pressure Wounds Treated With Negative Pressure Wound Therapy,Device,United States,August 2014,January 2018,United States
46,47,NCT00807664,Leg Ulcers,Biatain Ag vs Biatain in the Treament of Leg Ulcers,Device,,December 2008,April 2010,
47,48,NCT03613870,Partial-thickness Burn,PermeaDerm® vs. Mepilex-Ag® in Promoting Healing of Partial-thickness Burn Wounds,Device,United States,"July 19, 2018",October 2020,United States
48,49,NCT04737941,Venous Ulcer,Finnish Venous Ulcer Study (FINNULCER Study),Procedure,Finland|Finland|Finland|Finland|Finland|Finland|Finland|Finland,"February 26, 2021","March 1, 2026",Finland
49,50,NCT01105884,Diabetic Foot Ulcers,Clinical and Cost Effectiveness of Different Dressing Materials in Diabetic Foot Ulcers,Procedure,India,October 2009,July 2012,India
50,51,NCT03069885,Breast Neoplasm Female|Mammaplasty,iNPWT in Immediate Breast Reconstruction,Device,Denmark,"November 20, 2017",April 2019,Denmark
51,52,NCT02750280,Neuropathic Diabetic Foot Ulcer,A Longitudinal Study to Evaluate an Extracellular Matrix (MatriStem®) for the Treatment of Diabetic Foot Ulcers,Device,United States,June 2015,December 2015,United States
52,53,NCT02798445,Venous Ulcer,TAPIRS Technique Plus Adjustable Compression System in Treatment of Venous Leg Ulcers,Other,,June 2016,June 2017,
53,54,NCT04311229,"Pressure Ulcers Stage III|Pressure Ulcer, Stage IV",Effectiveness of Negative-Pressure Wound Therapy,Device,,"October 13, 2016","April 30, 2017",
54,55,NCT03818828,Venous Leg Ulcer,Subjects With Non-Healing Venous Leg Ulcers Treated With Standard Care Plus Cryopreserved Human Umbilical Cord (TTAX01),Biological,United States|United States|United States|United States|United States|United States,"February 14, 2019","January 28, 2020",United States
55,56,NCT04959071,Diabetic Foot Ulcer|Healing Delayed|Wound; Foot|Diabetes Mellitus,Mean Healing Time of Wound After Vacuum Assisted Closure (VAC) Versus Conventional Dressing in Diabetic Foot Ulcer Patients,Procedure,Pakistan,"February 28, 2020","August 27, 2020",Pakistan
56,57,NCT03135964,Pressure Ulcer|Diabetic Foot Ulcer,The Study of Wound Dressings for Portable NPWT,Device,Taiwan,February 2011,March 2016,Taiwan
57,58,NCT03877484,Wound,Evaluation of the Safety and Effectiveness of ALLEVYN Gentle Border,Device,France|Germany|Germany|Germany|Germany|United Kingdom|United Kingdom,"March 6, 2019","December 31, 2020",France
58,59,NCT03795064,Venous Ulcer,Immediate Versus Early Endovenous Ablation In Venous Ulcer,Procedure,Finland,"December 5, 2018","April 30, 2021",Finland
59,60,NCT02467998,Diabetic Foot Ulcers|Venous Stasis Ulcer|Pressure Ulcer|Surgical Wound Dehiscence|Burns|Other Types of Chronic Non Healing Wounds,Negative Pressure Wound Therapy Registry,Device,United States,January 2005,,United States
0,1,NCT04621838,Wound,To Evaluate the Safety and Performance of the AMS ActivHeal Silicone Foam and the ActivHeal Silicone Foam Lite Dressing.,Other,Poland,"April 21, 2020","July 30, 2021",Poland
1,2,NCT00618787,Wounds,Prospective Randomized Double Blind Clinical Trial of Polyhexamethylene Biguanide Impregnated Foam Dressing,Device,Canada|Canada,February 2008,April 2009,Canada
2,3,NCT04618406,Negative-Pressure Wound Therapy|Amputation|Wound Heal,The Effect of Negative Pressure Wound Therapy on Wound Healing in Major Amputations of the Lower Limb,Device,,September 2021,March 2022,
3,4,NCT03596112,Wound Heal,The Difference in Wound Size Reduction Comparing Two Frequently Used Wound Dressings in Everyday Care,Other,Switzerland,"September 1, 2018","May 31, 2020",Switzerland
4,5,NCT04390100,Free Gingival Graft,Palatal Wound Healing Evaluation After Application of Platelet Rich Fibrin Versus 0.2% Hyaluronic Acid Dressings,Drug,Egypt,"February 1, 2019","February 1, 2020",Egypt
5,6,NCT04675177,Hemorrhoids,Polidocanol Foam VS Artery Ligation in Hemorrhoidal Disease,Drug,Portugal,"September 1, 2019","March 25, 2020",Portugal
6,7,NCT01289340,Pain,Wound Healing and Pain Management in Partial Thickness Burns,,Israel,October 2015,March 2017,Israel
7,8,NCT03738579,Chronic Wound,Assessment of the Improvement of Wound Healing Rate and Wound Bioburden With the Combination of Next Science Wound Gel and Wash,Device,United States,"October 17, 2018","June 25, 2019",United States
8,9,NCT02930499,Venous Ulcers,Effect of Hyaluronic Acid ECM on Venous Ulcers,Device,United States,January 2016,December 2018,United States
9,10,NCT01004055,Wound Healing|Wound Infection,Efficacy Study of a Bioelectric Dressing to Treat Wounds Caused by Curettage and Electrodesiccation,Device,United States|United States,July 2008,October 2009,United States
10,11,NCT00847002,Venous Ulcer,Flexitouch Treatment for Venous Ulcers,Device,United States|United States,September 2007,August 2010,United States
11,12,NCT01294241,Inherited Epidermolysis Bullosa,Oleogel-S10 in Wound Healing of Inherited Epidermolysis Bullosa (BEB-10),Drug,Germany,November 2010,June 2011,Germany
